MUNICIPALITY,BIOME,STATE,COUNTRY,SOY_EQUIVALENT_TONS
Alto Boa Vista,AMAZONIA,MATO GROSSO,Germany,1028.20638937945
Alto Boa Vista,AMAZONIA,MATO GROSSO,Netherlands,1078.1100038137
Araputanga,AMAZONIA,MATO GROSSO,Netherlands,3.54822164034958
Araputanga,AMAZONIA,MATO GROSSO,Netherlands,3.94930484934303
Araputanga,AMAZONIA,MATO GROSSO,Netherlands,0.0925239259273974
Araputanga,AMAZONIA,MATO GROSSO,Netherlands,2.25382261345117
Araputanga,AMAZONIA,MATO GROSSO,Croatia,13.5858598851779
Araputanga,AMAZONIA,MATO GROSSO,France,4.48147820058009
Araputanga,AMAZONIA,MATO GROSSO,Netherlands,5.26752463190793
Araputanga,AMAZONIA,MATO GROSSO,Netherlands,0.27045871361414
Araputanga,AMAZONIA,MATO GROSSO,Netherlands,0.27045871361414
Arenapolis,AMAZONIA,MATO GROSSO,Netherlands,0.866062640798597
Arenapolis,AMAZONIA,MATO GROSSO,Denmark,0.16771864860077
Arenapolis,AMAZONIA,MATO GROSSO,France,200.974631456847
Arenapolis,AMAZONIA,MATO GROSSO,Germany,0.197032951530122
Arenapolis,AMAZONIA,MATO GROSSO,Netherlands,1163.92620625448
Arenapolis,AMAZONIA,MATO GROSSO,France,21.8763454696657
Aripuana,AMAZONIA,MATO GROSSO,Spain,0.482288483060905
Aripuana,AMAZONIA,MATO GROSSO,Spain,58.4432241283645
Aripuana,AMAZONIA,MATO GROSSO,Germany,7.04586769679606
Aripuana,AMAZONIA,MATO GROSSO,Ireland,16.9994026333451
Aripuana,AMAZONIA,MATO GROSSO,Netherlands,348.886072737327
Aripuana,AMAZONIA,MATO GROSSO,Netherlands,3.42590369110666
Aripuana,AMAZONIA,MATO GROSSO,Portugal,6.59584905717868
Aripuana,AMAZONIA,MATO GROSSO,Spain,30.6278250970092
Aripuana,AMAZONIA,MATO GROSSO,Portugal,10.3334968562466
Aripuana,AMAZONIA,MATO GROSSO,Spain,338.653668260964
Bom Jesus Do Araguaia,AMAZONIA,MATO GROSSO,Germany,9.39716405075059
Bom Jesus Do Araguaia,AMAZONIA,MATO GROSSO,Spain,213.174292102271
Bom Jesus Do Araguaia,AMAZONIA,MATO GROSSO,Netherlands,112.480122602921
Bom Jesus Do Araguaia,AMAZONIA,MATO GROSSO,Germany,1894.90817971337
Bom Jesus Do Araguaia,AMAZONIA,MATO GROSSO,Portugal,4492.66807207199
Bom Jesus Do Araguaia,AMAZONIA,MATO GROSSO,Spain,2224.76080553742
Bom Jesus Do Araguaia,AMAZONIA,MATO GROSSO,Netherlands,634.665366148388
Bom Jesus Do Araguaia,AMAZONIA,MATO GROSSO,Italy,18.7194503003
Bom Jesus Do Araguaia,AMAZONIA,MATO GROSSO,Spain,9.35972515014999
Bom Jesus Do Araguaia,AMAZONIA,MATO GROSSO,Germany,2806.25113957926
Bom Jesus Do Araguaia,AMAZONIA,MATO GROSSO,France,1684.750527027
Bom Jesus Do Araguaia,AMAZONIA,MATO GROSSO,France,280.7917545045
Bom Jesus Do Araguaia,AMAZONIA,MATO GROSSO,Spain,467.986257507499
Bom Jesus Do Araguaia,AMAZONIA,MATO GROSSO,Italy,71.1339111411399
Bom Jesus Do Araguaia,AMAZONIA,MATO GROSSO,Netherlands,93.5972515014999
Bom Jesus Do Araguaia,AMAZONIA,MATO GROSSO,Spain,5555.93284912903
Bom Jesus Do Araguaia,AMAZONIA,MATO GROSSO,France,255.111476610033
Bom Jesus Do Araguaia,AMAZONIA,MATO GROSSO,Netherlands,373.067225620295
Bom Jesus Do Araguaia,AMAZONIA,MATO GROSSO,Netherlands,496.065432957949
Bom Jesus Do Araguaia,AMAZONIA,MATO GROSSO,Netherlands,299.5112048048
Bom Jesus Do Araguaia,AMAZONIA,MATO GROSSO,Netherlands,142.26782228228
Bom Jesus Do Araguaia,AMAZONIA,MATO GROSSO,Germany,4204.63073570115
Bom Jesus Do Araguaia,AMAZONIA,MATO GROSSO,Netherlands,291.688151093243
Bom Jesus Do Araguaia,AMAZONIA,MATO GROSSO,Germany,566.517893805901
Bom Jesus Do Araguaia,AMAZONIA,MATO GROSSO,Germany,5248.81933339848
Bom Jesus Do Araguaia,AMAZONIA,MATO GROSSO,Netherlands,5503.56882625765
Canabrava Do Norte,AMAZONIA,MATO GROSSO,Portugal,1189.02527027395
Canabrava Do Norte,AMAZONIA,MATO GROSSO,Spain,2734.89758239539
Canabrava Do Norte,AMAZONIA,MATO GROSSO,Italy,1146.40533323011
Canabrava Do Norte,AMAZONIA,MATO GROSSO,Spain,24155.2296924356
Canabrava Do Norte,AMAZONIA,MATO GROSSO,Germany,0.0326353368041668
Canabrava Do Norte,AMAZONIA,MATO GROSSO,Spain,0.740331315189903
